end_date,link,endstr,postal-code,title,description,start_date,startstr,phone
2017-07-06 18:00:00,https://www.hartsvillesc.gov/event/centennial-farmers-market/2017-07-06/,6:00 PM,29552,Centennial Farmers Market,Let’s Get Fresh! Vegetables! The Centennial Farmers Market is downtown every Thursday from 3-6pm.,2017-07-06 15:00:00,July 6 @ 3:00 PM,(843) 383-3020
2017-07-08 13:00:00,https://www.hartsvillesc.gov/event/hartsville-farmers-market/2017-07-08/,1:00 PM,29562,Hartsville Farmers Market,Let's Get Fresh! Vegetables! Your Hartsville Farmers Market is on the 2nd Saturday of each month from April through December.,2017-07-08 09:00:00,July 8 @ 9:00 AM,(843) 917-0602
2017-07-08 20:30:00,https://www.hartsvillesc.gov/event/improv-comedy-night/,8:30 PM,29550,Improv Comedy Night,"Hartsville Community Players is hosting an Improv Comedy Night featuring the Florence improv comedy group 'Ten Piece Bucket.' They will be playing short-form improv games based on suggestions from the audience ( in the style of ""Whose Line is it Anyway""). This is a fundraiser to raise money for Hartsville Community Players' 45th season providing quality live theater to the Hartsville Community. This event will be held at Mezzo-Forte Restaurant and Playhouse on July 8th at 7pm Tickets are $10…",2017-07-08 19:00:00,July 8 @ 7:00 PM,(843) 917-2008
2017-07-08 23:30:00,https://www.hartsvillesc.gov/event/screen-on-the-green-the-bfg/,11:30 PM,29550,Screen on the Green: The BFG,"Sponsored by Carolina Bank This free outdoor movie showing in Burry Park will be projected on a 25-foot screen. The movie begins at dusk, 8:30 p.m. or later. Bring a chair or blanket and snacks! ""The BFG,"" rated PG for action/peril, some scary moments and brief rude humor. In the event of rain, Screen on the Green is moved to the Coach T.B. Thomas Sports Center, 701 W. Washington St.",2017-07-08 21:04:00,July 8 @ 9:04 PM,843-383-3015
2017-07-13 18:00:00,https://www.hartsvillesc.gov/event/centennial-farmers-market/2017-07-13/,6:00 PM,29552,Centennial Farmers Market,Let’s Get Fresh! Vegetables! The Centennial Farmers Market is downtown every Thursday from 3-6pm.,2017-07-13 15:00:00,July 13 @ 3:00 PM,(843) 383-3020
2017-07-20 18:00:00,https://www.hartsvillesc.gov/event/centennial-farmers-market/2017-07-20/,6:00 PM,29552,Centennial Farmers Market,Let’s Get Fresh! Vegetables! The Centennial Farmers Market is downtown every Thursday from 3-6pm.,2017-07-20 15:00:00,July 20 @ 3:00 PM,(843) 383-3020
2017-07-20 19:00:00,https://www.hartsvillesc.gov/event/connections-after-house-macon-hunter-state-farm-agent/,7:00 PM,29550,"Connections After House- Macon Hunter, State Farm Agent",Connections after Hours are held monthly from 5:30 to 7:00 p.m. Chamber members host these events in their place of business so they can promote their products/services. Business cards are also collected from those in attendance and given to the host at the end of the evening. Members who attend have an opportunity to be drawn to give a 60-second infomercial about their business.,2017-07-20 17:30:00,July 20 @ 5:30 PM,
2017-07-22 23:00:00,https://www.hartsvillesc.gov/event/screen-on-the-green-finding-dory/,11:00 PM,29550,Screen on the Green: Finding Dory,"Sponsored by North Industrial Machine This free outdoor movie showing in Burry Park will be projected on a 25-foot screen. The movie begins at dusk, 8:30 p.m. or later. Bring a chair or blanket and snacks! ""Finding Dory,"" rated PG for mild thematic elements. In the event of rain, Screen on the Green is moved to the Coach T.B. Thomas Sports Center, 701 W. Washington St.",2017-07-22 20:57:00,July 22 @ 8:57 PM,843-383-3015
2017-07-27 18:00:00,https://www.hartsvillesc.gov/event/centennial-farmers-market/2017-07-27/,6:00 PM,29552,Centennial Farmers Market,Let’s Get Fresh! Vegetables! The Centennial Farmers Market is downtown every Thursday from 3-6pm.,2017-07-27 15:00:00,July 27 @ 3:00 PM,(843) 383-3020
2017-08-03 18:00:00,https://www.hartsvillesc.gov/event/centennial-farmers-market/2017-08-03/,6:00 PM,29552,Centennial Farmers Market,Let’s Get Fresh! Vegetables! The Centennial Farmers Market is downtown every Thursday from 3-6pm.,2017-08-03 15:00:00,August 3 @ 3:00 PM,(843) 383-3020
2017-08-05 23:00:00,https://www.hartsvillesc.gov/event/screen-on-the-green-sing/,11:00 PM,29550,Screen on the Green: Sing,"Sponsored by Hartsville Police Department and Fire Department This free outdoor movie showing in Burry Park will be projected on a 25-foot screen. The movie begins at dusk, 8:30 p.m. or later, immediately following National Night Out. Bring a chair or blanket and snacks! ""Sing,"" rated PG for some rude humor and mild peril. In the event of rain, Screen on the Green is moved to the Coach T.B. Thomas Sports Center, 701 W. Washington St.",2017-08-05 20:45:00,August 5 @ 8:45 PM,843-383-3015
2017-08-07 10:00:00,https://www.hartsvillesc.gov/event/small-business-support-meeting-3/,10:00 AM,,Small Business Support Meeting,"The Greater Hartsville Chamber of Commerce will be hosting a networking event for small business owners, especially veterans, women, and minorities covering topics specific to success in small business.",2017-08-07 09:00:00,August 7 @ 9:00 AM,
2017-08-10 18:00:00,https://www.hartsvillesc.gov/event/centennial-farmers-market/2017-08-10/,6:00 PM,29552,Centennial Farmers Market,Let’s Get Fresh! Vegetables! The Centennial Farmers Market is downtown every Thursday from 3-6pm.,2017-08-10 15:00:00,August 10 @ 3:00 PM,(843) 383-3020
2017-08-12 13:00:00,https://www.hartsvillesc.gov/event/hartsville-farmers-market/2017-08-12/,1:00 PM,29562,Hartsville Farmers Market,Let's Get Fresh! Vegetables! Your Hartsville Farmers Market is on the 2nd Saturday of each month from April through December.,2017-08-12 09:00:00,August 12 @ 9:00 AM,(843) 917-0602
2017-08-17 18:00:00,https://www.hartsvillesc.gov/event/centennial-farmers-market/2017-08-17/,6:00 PM,29552,Centennial Farmers Market,Let’s Get Fresh! Vegetables! The Centennial Farmers Market is downtown every Thursday from 3-6pm.,2017-08-17 15:00:00,August 17 @ 3:00 PM,(843) 383-3020
,https://www.hartsvillesc.gov/event/2017-super-follies-free-medical-clinic-of-darlington-county/,,29554,2017 Super Follies – Free Medical Clinic of Darlington County,"The Free Medical Clinic of Darlington County would like to invite you to be a part of Super Follies 2017, our Talent Show, Dinner and Live/Silent Auction",2017-08-19 00:00:00,August 19,843-332-6401
2017-08-24 18:00:00,https://www.hartsvillesc.gov/event/centennial-farmers-market/2017-08-24/,6:00 PM,29552,Centennial Farmers Market,Let’s Get Fresh! Vegetables! The Centennial Farmers Market is downtown every Thursday from 3-6pm.,2017-08-24 15:00:00,August 24 @ 3:00 PM,(843) 383-3020
2017-08-25 10:00:00,https://www.hartsvillesc.gov/event/hr-managers-meeting-3/,10:00 AM,,HR Managers’ Meeting,A Chamber breakfast meeting for HR Managers covering topics specific to managing a company's HR department.,2017-08-25 09:00:00,August 25 @ 9:00 AM,
2017-08-31 18:00:00,https://www.hartsvillesc.gov/event/centennial-farmers-market/2017-08-31/,6:00 PM,29552,Centennial Farmers Market,Let’s Get Fresh! Vegetables! The Centennial Farmers Market is downtown every Thursday from 3-6pm.,2017-08-31 15:00:00,August 31 @ 3:00 PM,(843) 383-3020
2017-09-01 10:00:00,https://www.hartsvillesc.gov/event/small-business-support-meeting-4/,10:00 AM,,Small Business Support Meeting,"The Greater Hartsville Chamber of Commerce will be hosting a networking event for small business owners, especially veterans, women, and minorities covering topics specific to success in small business.",2017-09-01 09:00:00,September 1 @ 9:00 AM,
